,Diabolo-RX,Diabolo-RY,Diabolo-RZ,Diabolo-RW,Diabolo-TX,Diabolo-TY,Diabolo-TZ,stick_left-RX,stick_left-RY,stick_left-RZ,stick_left-RW,stick_left-TX,stick_left-TY,stick_left-TZ,stick_right-RX,stick_right-RY,stick_right-RZ,stick_right-RW,stick_right-TX,stick_right-TY,stick_right-TZ
378,-0.598297,0.386713,-0.691268,-0.121,0.0,0.0,0.0,-0.191211,0.75383,0.618744,-0.111056,-0.432064423,0.703153809,0.995702759,-0.535105,-0.210201,0.186841,0.796598,-0.322458252,0.807239685,1.3323045649999998
379,-0.537674,0.477112,-0.694927,-0.018629,0.0,0.0,0.0,-0.192396,0.754138,0.618236,-0.109742,-0.431750366,0.703197266,0.995001343,-0.535117,-0.210295,0.186289,0.796695,-0.32198171999999997,0.807138855,1.334830811
380,-0.465223,0.554218,-0.684766,0.086634,0.0,0.0,0.0,-0.193771,0.755888,0.616102,-0.107261,-0.431036926,0.7029008179999999,0.993625549,-0.53199,-0.210348,0.186506,0.798722,-0.321514313,0.806716858,1.3382253419999999
381,-0.381699,0.618387,-0.660283,0.189549,0.0,0.0,0.0,-0.195085,0.754957,0.616826,-0.107273,-0.430742767,0.7025769040000001,0.993424072,-0.528947,-0.21136,0.186803,0.800404,-0.32124173,0.8061983030000001,1.341487061
382,-0.282514,0.670117,-0.624086,0.285735,0.0,0.0,0.0,-0.196542,0.75567,0.615777,-0.105601,-0.430400909,0.70259613,0.992589355,-0.522,-0.211216,0.187695,0.804782,-0.320773621,0.805339539,1.3459479980000002
383,-0.18192,0.703546,-0.574227,0.377082,0.0,0.0,0.0,-0.199443,0.755934,0.614703,-0.104525,-0.430325714,0.702261353,0.991676086,-0.522776,-0.211007,0.187452,0.80439,-0.320261597,0.805252563,1.34813916
384,-0.083118,0.719988,-0.509928,0.463338,0.0,0.0,0.0,-0.201362,0.756489,0.613497,-0.103918,-0.430091431,0.7019584959999999,0.9908688959999999,-0.516661,-0.215364,0.188838,0.806858,-0.32080718999999996,0.804138367,1.3520802
385,0.031134,0.727914,-0.43601,0.528268,0.0,0.0,0.0,-0.201197,0.756107,0.614417,-0.101555,-0.429196533,0.7020039060000001,0.9907172849999999,-0.516175,-0.212041,0.187637,0.808328,-0.319408325,0.8041549680000001,1.354781738
386,0.135306,0.715439,-0.352594,0.587807,0.0,0.0,0.0,-0.205473,0.757599,0.611234,-0.101076,-0.429473969,0.701440979,0.9892186890000001,-0.513512,-0.21236,0.187788,0.809904,-0.318961456,0.803667725,1.357929199
387,0.239632,0.689981,-0.260577,0.63135,0.0,0.0,0.0,-0.207369,0.758122,0.610267,-0.099115,-0.428986633,0.7012054440000001,0.988364929,-0.51074,-0.212546,0.187955,0.811567,-0.31842923,0.8031339719999999,1.3611030270000002
388,0.338045,0.64784,-0.163876,0.662702,0.0,0.0,0.0,-0.208155,0.756265,0.612629,-0.097059,-0.428331818,0.7009484250000001,0.988646118,-0.507979,-0.212947,0.188026,0.813177,-0.31794046,0.802632751,1.364223022
389,0.430362,0.595556,-0.057674,0.675851,0.0,0.0,0.0,-0.210239,0.756394,0.61197,-0.095712,-0.428020691,0.7006930539999999,0.988050964,-0.504925,-0.21336,0.188159,0.814938,-0.317472504,0.8020313720000001,1.367434692
390,0.505506,0.517949,0.046594,0.688492,0.0,0.0,0.0,-0.212664,0.757735,0.609781,-0.093692,-0.427764313,0.700513672,0.9870207520000001,-0.50276,-0.213325,0.188465,0.816214,-0.316907806,0.8015869139999999,1.370435303
391,0.572978,0.437979,0.150985,0.676072,0.0,0.0,0.0,-0.214771,0.758071,0.608768,-0.092752,-0.427525818,0.700186768,0.98643811,-0.499517,-0.213896,0.187763,0.818215,-0.316354309,0.801034302,1.373598755
392,0.627641,0.345677,0.24935,0.651459,0.0,0.0,0.0,-0.217352,0.759767,0.606121,-0.090165,-0.427033173,0.6997609250000001,0.985182373,-0.493665,-0.213543,0.189624,0.821424,-0.315943665,0.800014709,1.377726196
393,0.672333,0.248798,0.343426,0.606734,0.0,0.0,0.0,-0.2173,0.756047,0.610803,-0.089965,-0.426581818,0.699720093,0.9865625,-0.494306,-0.213244,0.188692,0.82133,-0.315182312,0.799981262,1.379899658
394,0.702145,0.136036,0.42776,0.552728,0.0,0.0,0.0,-0.221872,0.756732,0.608554,-0.088264,-0.42673700000000003,0.699323669,0.985587097,-0.491355,-0.213978,0.188413,0.822973,-0.314655823,0.799380554,1.3828887939999999
395,0.714619,0.030649,0.501268,0.48694,0.0,0.0,0.0,-0.223643,0.758517,0.605975,-0.086192,-0.42622589099999997,0.69894989,0.984527954,-0.488595,-0.213521,0.189324,0.824524,-0.31404528800000003,0.7987748410000001,1.3860426030000002
